Area_name,Area_type,Average_2018_2019,Category,Count,Month,Type,Variation (%)
NHS Greater Glasgow & Clyde,Health board,281,45-64,264,2021-05-01,age,-6
NHS Highland,Health board,66.5,45-64,48,2021-05-01,age,-27.8
NHS Lanarkshire,Health board,151,45-64,113,2021-05-01,age,-25.2
NHS Lothian,Health board,126,45-64,153,2021-05-01,age,21.4
NHS Orkney,Health board,4.5,45-64,5,2021-05-01,age,11.1
NHS Shetland,Health board,5.5,45-64,5,2021-05-01,age,-9.1
NHS Tayside,Health board,83,45-64,89,2021-05-01,age,7.2
NHS Western Isles,Health board,10.5,45-64,5,2021-05-01,age,-52.4
NHS Ayrshire & Arran,Health board,44.5,5 - least deprived,45,2021-05-01,dep,1.1
NHS Borders,Health board,8.5,5 - least deprived,8,2021-05-01,dep,-5.9
NHS Dumfries & Galloway,Health board,11.5,5 - least deprived,9,2021-05-01,dep,-21.7
NHS Fife,Health board,48.5,5 - least deprived,48,2021-05-01,dep,-1
NHS Forth Valley,Health board,44,5 - least deprived,39,2021-05-01,dep,-11.4
NHS Grampian,Health board,110.5,5 - least deprived,84,2021-05-01,dep,-24
NHS Greater Glasgow & Clyde,Health board,183,5 - least deprived,138,2021-05-01,dep,-24.6
NHS Highland,Health board,17.5,5 - least deprived,14,2021-05-01,dep,-20
NHS Lanarkshire,Health board,67.5,5 - least deprived,53,2021-05-01,dep,-21.5
NHS Lothian,Health board,171.5,5 - least deprived,190,2021-05-01,dep,10.8
NHS Tayside,Health board,68.5,5 - least deprived,58,2021-05-01,dep,-15.3
NHS Ayrshire & Arran,Health board,30,5-11,19,2021-05-01,age,-36.7
NHS Borders,Health board,10.5,5-11,6,2021-05-01,age,-42.9
NHS Dumfries & Galloway,Health board,14.5,5-11,8,2021-05-01,age,-44.8
NHS Fife,Health board,21.5,5-11,13,2021-05-01,age,-39.5
NHS Forth Valley,Health board,22.5,5-11,7,2021-05-01,age,-68.9
NHS Grampian,Health board,44.5,5-11,24,2021-05-01,age,-46.1
NHS Greater Glasgow & Clyde,Health board,85.5,5-11,61,2021-05-01,age,-28.7
NHS Highland,Health board,17.5,5-11,15,2021-05-01,age,-14.3
NHS Lanarkshire,Health board,49.5,5-11,39,2021-05-01,age,-21.2
NHS Lothian,Health board,45,5-11,25,2021-05-01,age,-44.4
NHS Tayside,Health board,32,5-11,22,2021-05-01,age,-31.2
NHS Ayrshire & Arran,Health board,91,65-79,85,2021-05-01,age,-6.6
NHS Borders,Health board,24,65-79,26,2021-05-01,age,8.3
NHS Dumfries & Galloway,Health board,36.5,65-79,26,2021-05-01,age,-28.8
NHS Fife,Health board,92.5,65-79,85,2021-05-01,age,-8.1
NHS Forth Valley,Health board,50.5,65-79,52,2021-05-01,age,3
NHS Grampian,Health board,77,65-79,94,2021-05-01,age,22.1
NHS Greater Glasgow & Clyde,Health board,216.5,65-79,212,2021-05-01,age,-2.1
NHS Highland,Health board,53.5,65-79,51,2021-05-01,age,-4.7
NHS Lanarkshire,Health board,127.5,65-79,115,2021-05-01,age,-9.8
NHS Lothian,Health board,121,65-79,157,2021-05-01,age,29.8
NHS Orkney,Health board,1.5,65-79,6,2021-05-01,age,300
NHS Shetland,Health board,4,65-79,12,2021-05-01,age,200
NHS Tayside,Health board,97,65-79,68,2021-05-01,age,-29.9
NHS Western Isles,Health board,11,65-79,6,2021-05-01,age,-45.5
NHS Ayrshire & Arran,Health board,91.5,80 and over,107,2021-05-01,age,16.9
NHS Borders,Health board,33,80 and over,30,2021-05-01,age,-9.1
NHS Dumfries & Galloway,Health board,43.5,80 and over,44,2021-05-01,age,1.1
NHS Fife,Health board,115,80 and over,119,2021-05-01,age,3.5
NHS Forth Valley,Health board,67.5,80 and over,66,2021-05-01,age,-2.2
NHS Grampian,Health board,111,80 and over,105,2021-05-01,age,-5.4
NHS Greater Glasgow & Clyde,Health board,267.5,80 and over,248,2021-05-01,age,-7.3
NHS Highland,Health board,71,80 and over,60,2021-05-01,age,-15.5
NHS Lanarkshire,Health board,140,80 and over,140,2021-05-01,age,0
NHS Lothian,Health board,177,80 and over,216,2021-05-01,age,22
NHS Orkney,Health board,4.5,80 and over,6,2021-05-01,age,33.3
NHS Shetland,Health board,3.5,80 and over,7,2021-05-01,age,100
NHS Tayside,Health board,127.5,80 and over,127,2021-05-01,age,-0.4
NHS Western Isles,Health board,6.5,80 and over,8,2021-05-01,age,23.1
NHS Ayrshire & Arran,Health board,417.5,All,412,2021-05-01,all,-1.3
NHS Borders,Health board,126,All,95,2021-05-01,all,-24.6
NHS Dumfries & Galloway,Health board,155.5,All,149,2021-05-01,all,-4.2
NHS Fife,Health board,393.5,All,356,2021-05-01,all,-9.5
NHS Forth Valley,Health board,289,All,253,2021-05-01,all,-12.5
NHS Grampian,Health board,489.5,All,425,2021-05-01,all,-13.2
NHS Greater Glasgow & Clyde,Health board,1266.5,All,1156,2021-05-01,all,-8.7
NHS Highland,Health board,297.5,All,232,2021-05-01,all,-22
NHS Lanarkshire,Health board,666,All,577,2021-05-01,all,-13.4
NHS Lothian,Health board,676.5,All,744,2021-05-01,all,10
NHS Orkney,Health board,17.5,All,21,2021-05-01,all,20
NHS Shetland,Health board,17,All,32,2021-05-01,all,88.2
NHS Tayside,Health board,484.5,All,420,2021-05-01,all,-13.3
NHS Western Isles,Health board,40,All,30,2021-05-01,all,-25
NHS Ayrshire & Arran,Health board,216,Female,208,2021-05-01,sex,-3.7
NHS Borders,Health board,60,Female,50,2021-05-01,sex,-16.7
NHS Dumfries & Galloway,Health board,82,Female,82,2021-05-01,sex,0
NHS Fife,Health board,195.5,Female,190,2021-05-01,sex,-2.8
NHS Forth Valley,Health board,139.5,Female,143,2021-05-01,sex,2.5
NHS Grampian,Health board,231.5,Female,226,2021-05-01,sex,-2.4
NHS Greater Glasgow & Clyde,Health board,612.5,Female,580,2021-05-01,sex,-5.3
NHS Highland,Health board,138,Female,123,2021-05-01,sex,-10.9
NHS Lanarkshire,Health board,326,Female,275,2021-05-01,sex,-15.6
NHS Lothian,Health board,338,Female,416,2021-05-01,sex,23.1
NHS Orkney,Health board,8.5,Female,8,2021-05-01,sex,-5.9
NHS Shetland,Health board,9.5,Female,18,2021-05-01,sex,89.5
NHS Tayside,Health board,239,Female,232,2021-05-01,sex,-2.9
NHS Western Isles,Health board,17.5,Female,16,2021-05-01,sex,-8.6
NHS Ayrshire & Arran,Health board,147,Home,162,2021-05-01,injurylocation,10.2
NHS Borders,Health board,54.5,Home,49,2021-05-01,injurylocation,-10.1
NHS Dumfries & Galloway,Health board,75,Home,79,2021-05-01,injurylocation,5.3
NHS Fife,Health board,166.5,Home,175,2021-05-01,injurylocation,5.1
NHS Forth Valley,Health board,73,Home,80,2021-05-01,injurylocation,9.6
NHS Grampian,Health board,174.5,Home,201,2021-05-01,injurylocation,15.2
NHS Greater Glasgow & Clyde,Health board,334.5,Home,347,2021-05-01,injurylocation,3.7
NHS Highland,Health board,94,Home,85,2021-05-01,injurylocation,-9.6
NHS Lanarkshire,Health board,180.5,Home,184,2021-05-01,injurylocation,1.9
NHS Lothian,Health board,252.5,Home,357,2021-05-01,injurylocation,41.4
NHS Orkney,Health board,5.5,Home,8,2021-05-01,injurylocation,45.5
NHS Shetland,Health board,5,Home,19,2021-05-01,injurylocation,280
NHS Tayside,Health board,164,Home,203,2021-05-01,injurylocation,23.8
NHS Western Isles,Health board,5,Home,7,2021-05-01,injurylocation,40
NHS Ayrshire & Arran,Health board,201.5,Male,204,2021-05-01,sex,1.2
NHS Borders,Health board,66,Male,45,2021-05-01,sex,-31.8
NHS Dumfries & Galloway,Health board,73.5,Male,67,2021-05-01,sex,-8.8
NHS Fife,Health board,198,Male,166,2021-05-01,sex,-16.2
NHS Forth Valley,Health board,149.5,Male,110,2021-05-01,sex,-26.4
NHS Grampian,Health board,258,Male,198,2021-05-01,sex,-23.3
NHS Greater Glasgow & Clyde,Health board,654,Male,576,2021-05-01,sex,-11.9
NHS Highland,Health board,159.5,Male,109,2021-05-01,sex,-31.7
NHS Lanarkshire,Health board,340,Male,302,2021-05-01,sex,-11.2
NHS Lothian,Health board,338.5,Male,328,2021-05-01,sex,-3.1
NHS Orkney,Health board,9,Male,13,2021-05-01,sex,44.4
NHS Shetland,Health board,7.5,Male,14,2021-05-01,sex,86.7
NHS Tayside,Health board,245.5,Male,188,2021-05-01,sex,-23.4
NHS Western Isles,Health board,22.5,Male,14,2021-05-01,sex,-37.8
NHS Ayrshire & Arran,Health board,68,Other,65,2021-05-01,injurylocation,-4.4
NHS Borders,Health board,22.5,Other,16,2021-05-01,injurylocation,-28.9
NHS Dumfries & Galloway,Health board,35,Other,24,2021-05-01,injurylocation,-31.4
NHS Fife,Health board,61,Other,56,2021-05-01,injurylocation,-8.2
NHS Forth Valley,Health board,43.5,Other,29,2021-05-01,injurylocation,-33.3
NHS Grampian,Health board,109.5,Other,92,2021-05-01,injurylocation,-16
NHS Greater Glasgow & Clyde,Health board,165.5,Other,133,2021-05-01,injurylocation,-19.6
NHS Highland,Health board,44,Other,39,2021-05-01,injurylocation,-11.4
NHS Lanarkshire,Health board,84.5,Other,85,2021-05-01,injurylocation,0.6
NHS Lothian,Health board,115.5,Other,131,2021-05-01,injurylocation,13.4
NHS Shetland,Health board,3,Other,7,2021-05-01,injurylocation,133.3
NHS Tayside,Health board,89.5,Other,82,2021-05-01,injurylocation,-8.4
NHS Western Isles,Health board,5,Other,5,2021-05-01,injurylocation,0
NHS Ayrshire & Arran,Health board,169,Undisclosed,155,2021-05-01,injurylocation,-8.3
NHS Borders,Health board,32.5,Undisclosed,23,2021-05-01,injurylocation,-29.2
NHS Dumfries & Galloway,Health board,26,Undisclosed,31,2021-05-01,injurylocation,19.2
NHS Fife,Health board,127.5,Undisclosed,105,2021-05-01,injurylocation,-17.6
NHS Forth Valley,Health board,149,Undisclosed,126,2021-05-01,injurylocation,-15.4
NHS Grampian,Health board,141.5,Undisclosed,96,2021-05-01,injurylocation,-32.2
NHS Greater Glasgow & Clyde,Health board,679.5,Undisclosed,599,2021-05-01,injurylocation,-11.8
NHS Highland,Health board,117.5,Undisclosed,84,2021-05-01,injurylocation,-28.5
NHS Lanarkshire,Health board,361.5,Undisclosed,262,2021-05-01,injurylocation,-27.5
NHS Lothian,Health board,250.5,Undisclosed,203,2021-05-01,injurylocation,-19
NHS Orkney,Health board,4,Undisclosed,5,2021-05-01,injurylocation,25
NHS Tayside,Health board,188.5,Undisclosed,98,2021-05-01,injurylocation,-48
NHS Western Isles,Health board,25.5,Undisclosed,18,2021-05-01,injurylocation,-29.4
Aberdeen City,HSC partnership,11.5,0-4,8,2021-05-01,age,-30.4
Aberdeenshire,HSC partnership,14.5,0-4,9,2021-05-01,age,-37.9
Dumfries & Galloway,HSC partnership,6,0-4,9,2021-05-01,age,50
Dundee City,HSC partnership,12,0-4,13,2021-05-01,age,8.3
East Ayrshire,HSC partnership,9,0-4,6,2021-05-01,age,-33.3
East Dunbartonshire,HSC partnership,4.5,0-4,5,2021-05-01,age,11.1
Edinburgh,HSC partnership,22,0-4,10,2021-05-01,age,-54.5
Falkirk,HSC partnership,11.5,0-4,7,2021-05-01,age,-39.1
Fife,HSC partnership,18,0-4,15,2021-05-01,age,-16.7
Glasgow City,HSC partnership,39,0-4,28,2021-05-01,age,-28.2
North Ayrshire,HSC partnership,11,0-4,11,2021-05-01,age,0
North Lanarkshire,HSC partnership,18.5,0-4,17,2021-05-01,age,-8.1
Perth & Kinross,HSC partnership,7,0-4,8,2021-05-01,age,14.3
Renfrewshire,HSC partnership,12.5,0-4,9,2021-05-01,age,-28
Scottish Borders,HSC partnership,5,0-4,6,2021-05-01,age,20
South Ayrshire,HSC partnership,7,0-4,7,2021-05-01,age,0
South Lanarkshire,HSC partnership,18.5,0-4,8,2021-05-01,age,-56.8
West Dunbartonshire,HSC partnership,6.5,0-4,7,2021-05-01,age,7.7
West Lothian,HSC partnership,12.5,0-4,8,2021-05-01,age,-36
Aberdeen City,HSC partnership,10,12-17,6,2021-05-01,age,-40
Aberdeenshire,HSC partnership,6.5,12-17,9,2021-05-01,age,38.5
Angus,HSC partnership,7,12-17,10,2021-05-01,age,42.9
Clackmannanshire & Stirling,HSC partnership,7,12-17,7,2021-05-01,age,0
Dumfries & Galloway,HSC partnership,7,12-17,8,2021-05-01,age,14.3
Dundee City,HSC partnership,4.5,12-17,7,2021-05-01,age,55.6
East Ayrshire,HSC partnership,4.5,12-17,10,2021-05-01,age,122.2
East Dunbartonshire,HSC partnership,4.5,12-17,6,2021-05-01,age,33.3
Edinburgh,HSC partnership,12.5,12-17,8,2021-05-01,age,-36
Falkirk,HSC partnership,6,12-17,9,2021-05-01,age,50
Fife,HSC partnership,13.5,12-17,12,2021-05-01,age,-11.1
Glasgow City,HSC partnership,35.5,12-17,27,2021-05-01,age,-23.9
Highland,HSC partnership,8.5,12-17,5,2021-05-01,age,-41.2
Midlothian,HSC partnership,4.5,12-17,5,2021-05-01,age,11.1
Moray,HSC partnership,2,12-17,5,2021-05-01,age,150
North Ayrshire,HSC partnership,3,12-17,9,2021-05-01,age,200
North Lanarkshire,HSC partnership,10.5,12-17,11,2021-05-01,age,4.8
Perth & Kinross,HSC partnership,5,12-17,7,2021-05-01,age,40
Renfrewshire,HSC partnership,10.5,12-17,9,2021-05-01,age,-14.3
Scottish Borders,HSC partnership,8,12-17,6,2021-05-01,age,-25
South Ayrshire,HSC partnership,6,12-17,7,2021-05-01,age,16.7
South Lanarkshire,HSC partnership,12.5,12-17,14,2021-05-01,age,12
West Dunbartonshire,HSC partnership,5,12-17,8,2021-05-01,age,60
West Lothian,HSC partnership,9,12-17,7,2021-05-01,age,-22.2
Aberdeen City,HSC partnership,15,18-24,10,2021-05-01,age,-33.3
Aberdeenshire,HSC partnership,10,18-24,7,2021-05-01,age,-30
Angus,HSC partnership,9.5,18-24,7,2021-05-01,age,-26.3
Clackmannanshire & Stirling,HSC partnership,5.5,18-24,10,2021-05-01,age,81.8
Dumfries & Galloway,HSC partnership,5.5,18-24,8,2021-05-01,age,45.5
East Ayrshire,HSC partnership,7.5,18-24,6,2021-05-01,age,-20
East Lothian,HSC partnership,4.5,18-24,6,2021-05-01,age,33.3
Edinburgh,HSC partnership,17.5,18-24,14,2021-05-01,age,-20
Fife,HSC partnership,16,18-24,10,2021-05-01,age,-37.5
Glasgow City,HSC partnership,45,18-24,30,2021-05-01,age,-33.3
Highland,HSC partnership,16,18-24,5,2021-05-01,age,-68.8
Moray,HSC partnership,3,18-24,7,2021-05-01,age,133.3
North Lanarkshire,HSC partnership,16,18-24,14,2021-05-01,age,-12.5
Perth & Kinross,HSC partnership,11.5,18-24,7,2021-05-01,age,-39.1
Renfrewshire,HSC partnership,9.5,18-24,13,2021-05-01,age,36.8
South Lanarkshire,HSC partnership,14.5,18-24,20,2021-05-01,age,37.9
Aberdeen City,HSC partnership,42,25-44,39,2021-05-01,age,-7.1
Aberdeenshire,HSC partnership,37,25-44,22,2021-05-01,age,-40.5
Angus,HSC partnership,21.5,25-44,15,2021-05-01,age,-30.2
Argyll & Bute,HSC partnership,15.5,25-44,16,2021-05-01,age,3.2
Clackmannanshire & Stirling,HSC partnership,18.5,25-44,15,2021-05-01,age,-18.9
Dumfries & Galloway,HSC partnership,18,25-44,11,2021-05-01,age,-38.9
Dundee City,HSC partnership,32.5,25-44,22,2021-05-01,age,-32.3
East Ayrshire,HSC partnership,20.5,25-44,26,2021-05-01,age,26.8
East Dunbartonshire,HSC partnership,15.5,25-44,17,2021-05-01,age,9.7
East Lothian,HSC partnership,8.5,25-44,8,2021-05-01,age,-5.9
East Renfrewshire,HSC partnership,8,25-44,5,2021-05-01,age,-37.5
Edinburgh,HSC partnership,52,25-44,65,2021-05-01,age,25
Falkirk,HSC partnership,28.5,25-44,15,2021-05-01,age,-47.4
Fife,HSC partnership,52,25-44,43,2021-05-01,age,-17.3
Glasgow City,HSC partnership,133.5,25-44,111,2021-05-01,age,-16.9
Highland,HSC partnership,30,25-44,19,2021-05-01,age,-36.7
Inverclyde,HSC partnership,11.5,25-44,16,2021-05-01,age,39.1
Midlothian,HSC partnership,13.5,25-44,17,2021-05-01,age,25.9
North Ayrshire,HSC partnership,25.5,25-44,15,2021-05-01,age,-41.2
North Lanarkshire,HSC partnership,59,25-44,44,2021-05-01,age,-25.4
Perth & Kinross,HSC partnership,17.5,25-44,10,2021-05-01,age,-42.9
Renfrewshire,HSC partnership,26.5,25-44,41,2021-05-01,age,54.7
Scottish Borders,HSC partnership,16.5,25-44,7,2021-05-01,age,-57.6
South Ayrshire,HSC partnership,15,25-44,18,2021-05-01,age,20
South Lanarkshire,HSC partnership,48.5,25-44,42,2021-05-01,age,-13.4
West Dunbartonshire,HSC partnership,17,25-44,18,2021-05-01,age,5.9
West Lothian,HSC partnership,26.5,25-44,34,2021-05-01,age,28.3
Western Isles,HSC partnership,6,25-44,7,2021-05-01,age,16.7
Aberdeen City,HSC partnership,36,45-64,26,2021-05-01,age,-27.8
Aberdeenshire,HSC partnership,39.5,45-64,29,2021-05-01,age,-26.6
Angus,HSC partnership,23,45-64,23,2021-05-01,age,0
Argyll & Bute,HSC partnership,22.5,45-64,18,2021-05-01,age,-20
Clackmannanshire & Stirling,HSC partnership,27,45-64,30,2021-05-01,age,11.1
Dumfries & Galloway,HSC partnership,24.5,45-64,35,2021-05-01,age,42.9
Dundee City,HSC partnership,36,45-64,37,2021-05-01,age,2.8
East Ayrshire,HSC partnership,30.5,45-64,26,2021-05-01,age,-14.8
East Dunbartonshire,HSC partnership,17.5,45-64,28,2021-05-01,age,60
East Lothian,HSC partnership,12,45-64,19,2021-05-01,age,58.3
East Renfrewshire,HSC partnership,12,45-64,14,2021-05-01,age,16.7
Edinburgh,HSC partnership,65.5,45-64,77,2021-05-01,age,17.6
Falkirk,HSC partnership,31.5,45-64,32,2021-05-01,age,1.6
Fife,HSC partnership,65,45-64,59,2021-05-01,age,-9.2
Glasgow City,HSC partnership,178.5,45-64,140,2021-05-01,age,-21.6
Highland,HSC partnership,44,45-64,30,2021-05-01,age,-31.8
Inverclyde,HSC partnership,18.5,45-64,21,2021-05-01,age,13.5
Midlothian,HSC partnership,11,45-64,19,2021-05-01,age,72.7
Moray,HSC partnership,15,45-64,19,2021-05-01,age,26.7
North Ayrshire,HSC partnership,32.5,45-64,30,2021-05-01,age,-7.7
North Lanarkshire,HSC partnership,83,45-64,70,2021-05-01,age,-15.7
Orkney Islands,HSC partnership,4.5,45-64,5,2021-05-01,age,11.1
Perth & Kinross,HSC partnership,24,45-64,29,2021-05-01,age,20.8
Renfrewshire,HSC partnership,33,45-64,44,2021-05-01,age,33.3
Scottish Borders,HSC partnership,23.5,45-64,12,2021-05-01,age,-48.9
Shetland Islands,HSC partnership,5.5,45-64,5,2021-05-01,age,-9.1
South Ayrshire,HSC partnership,23.5,45-64,25,2021-05-01,age,6.4
South Lanarkshire,HSC partnership,68,45-64,43,2021-05-01,age,-36.8
West Dunbartonshire,HSC partnership,21.5,45-64,17,2021-05-01,age,-20.9
West Lothian,HSC partnership,37.5,45-64,38,2021-05-01,age,1.3
Western Isles,HSC partnership,10.5,45-64,5,2021-05-01,age,-52.4
Aberdeen City,HSC partnership,15,5-11,10,2021-05-01,age,-33.3
Aberdeenshire,HSC partnership,24.5,5-11,9,2021-05-01,age,-63.3
Angus,HSC partnership,11,5-11,6,2021-05-01,age,-45.5
Argyll & Bute,HSC partnership,5.5,5-11,6,2021-05-01,age,9.1
Dumfries & Galloway,HSC partnership,14.5,5-11,8,2021-05-01,age,-44.8
Dundee City,HSC partnership,10.5,5-11,10,2021-05-01,age,-4.8
East Ayrshire,HSC partnership,13.5,5-11,6,2021-05-01,age,-55.6
East Dunbartonshire,HSC partnership,10,5-11,6,2021-05-01,age,-40
East Renfrewshire,HSC partnership,10.5,5-11,5,2021-05-01,age,-52.4
Edinburgh,HSC partnership,17,5-11,9,2021-05-01,age,-47.1
Falkirk,HSC partnership,14,5-11,5,2021-05-01,age,-64.3
Fife,HSC partnership,21.5,5-11,13,2021-05-01,age,-39.5
Glasgow City,HSC partnership,37.5,5-11,36,2021-05-01,age,-4
Highland,HSC partnership,12,5-11,9,2021-05-01,age,-25
Moray,HSC partnership,5,5-11,5,2021-05-01,age,0
North Ayrshire,HSC partnership,10.5,5-11,10,2021-05-01,age,-4.8
North Lanarkshire,HSC partnership,26.5,5-11,18,2021-05-01,age,-32.1
Perth & Kinross,HSC partnership,10.5,5-11,6,2021-05-01,age,-42.9
Renfrewshire,HSC partnership,11,5-11,10,2021-05-01,age,-9.1
Scottish Borders,HSC partnership,10.5,5-11,6,2021-05-01,age,-42.9
South Lanarkshire,HSC partnership,23,5-11,21,2021-05-01,age,-8.7
West Lothian,HSC partnership,13,5-11,9,2021-05-01,age,-30.8
Aberdeen City,HSC partnership,28.5,65-79,35,2021-05-01,age,22.8
Aberdeenshire,HSC partnership,32.5,65-79,34,2021-05-01,age,4.6
Angus,HSC partnership,27,65-79,28,2021-05-01,age,3.7
Argyll & Bute,HSC partnership,19.5,65-79,22,2021-05-01,age,12.8
Clackmannanshire & Stirling,HSC partnership,20.5,65-79,21,2021-05-01,age,2.4
Dumfries & Galloway,HSC partnership,36.5,65-79,26,2021-05-01,age,-28.8
Dundee City,HSC partnership,32,65-79,19,2021-05-01,age,-40.6
East Ayrshire,HSC partnership,29,65-79,27,2021-05-01,age,-6.9
East Dunbartonshire,HSC partnership,20.5,65-79,25,2021-05-01,age,22
East Lothian,HSC partnership,19,65-79,20,2021-05-01,age,5.3
East Renfrewshire,HSC partnership,15.5,65-79,18,2021-05-01,age,16.1
Edinburgh,HSC partnership,64,65-79,81,2021-05-01,age,26.6
Falkirk,HSC partnership,30,65-79,31,2021-05-01,age,3.3
Fife,HSC partnership,92.5,65-79,85,2021-05-01,age,-8.1
Glasgow City,HSC partnership,110,65-79,109,2021-05-01,age,-0.9
Highland,HSC partnership,34,65-79,29,2021-05-01,age,-14.7
Inverclyde,HSC partnership,18,65-79,13,2021-05-01,age,-27.8
Midlothian,HSC partnership,13.5,65-79,22,2021-05-01,age,63
Moray,HSC partnership,16,65-79,25,2021-05-01,age,56.2
North Ayrshire,HSC partnership,34,65-79,28,2021-05-01,age,-17.6
North Lanarkshire,HSC partnership,66.5,65-79,58,2021-05-01,age,-12.8
Orkney Islands,HSC partnership,1.5,65-79,6,2021-05-01,age,300
Perth & Kinross,HSC partnership,38,65-79,21,2021-05-01,age,-44.7
Renfrewshire,HSC partnership,31,65-79,31,2021-05-01,age,0
Scottish Borders,HSC partnership,24,65-79,26,2021-05-01,age,8.3
Shetland Islands,HSC partnership,4,65-79,12,2021-05-01,age,200
South Ayrshire,HSC partnership,28,65-79,30,2021-05-01,age,7.1
South Lanarkshire,HSC partnership,61,65-79,57,2021-05-01,age,-6.6
West Dunbartonshire,HSC partnership,21.5,65-79,16,2021-05-01,age,-25.6
West Lothian,HSC partnership,24.5,65-79,34,2021-05-01,age,38.8
Western Isles,HSC partnership,11,65-79,6,2021-05-01,age,-45.5
Aberdeen City,HSC partnership,48.5,80 and over,52,2021-05-01,age,7.2
Aberdeenshire,HSC partnership,44,80 and over,38,2021-05-01,age,-13.6
Angus,HSC partnership,42,80 and over,49,2021-05-01,age,16.7
Argyll & Bute,HSC partnership,27,80 and over,22,2021-05-01,age,-18.5
Clackmannanshire & Stirling,HSC partnership,29.5,80 and over,29,2021-05-01,age,-1.7
Dumfries & Galloway,HSC partnership,43.5,80 and over,44,2021-05-01,age,1.1
Dundee City,HSC partnership,36,80 and over,40,2021-05-01,age,11.1
East Ayrshire,HSC partnership,23,80 and over,25,2021-05-01,age,8.7
East Dunbartonshire,HSC partnership,36,80 and over,32,2021-05-01,age,-11.1
East Lothian,HSC partnership,17,80 and over,24,2021-05-01,age,41.2
East Renfrewshire,HSC partnership,24,80 and over,20,2021-05-01,age,-16.7
Edinburgh,HSC partnership,109.5,80 and over,143,2021-05-01,age,30.6
Falkirk,HSC partnership,38,80 and over,37,2021-05-01,age,-2.6
Fife,HSC partnership,115,80 and over,119,2021-05-01,age,3.5
Glasgow City,HSC partnership,131.5,80 and over,115,2021-05-01,age,-12.5
Highland,HSC partnership,44,80 and over,38,2021-05-01,age,-13.6
Inverclyde,HSC partnership,21.5,80 and over,15,2021-05-01,age,-30.2
Midlothian,HSC partnership,18,80 and over,19,2021-05-01,age,5.6
Moray,HSC partnership,18.5,80 and over,15,2021-05-01,age,-18.9
North Ayrshire,HSC partnership,35,80 and over,39,2021-05-01,age,11.4
North Lanarkshire,HSC partnership,64.5,80 and over,64,2021-05-01,age,-0.8
Orkney Islands,HSC partnership,4.5,80 and over,6,2021-05-01,age,33.3
Perth & Kinross,HSC partnership,49.5,80 and over,38,2021-05-01,age,-23.2
Renfrewshire,HSC partnership,33.5,80 and over,38,2021-05-01,age,13.4
Scottish Borders,HSC partnership,33,80 and over,30,2021-05-01,age,-9.1
Shetland Islands,HSC partnership,3.5,80 and over,7,2021-05-01,age,100
South Ayrshire,HSC partnership,33.5,80 and over,43,2021-05-01,age,28.4
South Lanarkshire,HSC partnership,75.5,80 and over,76,2021-05-01,age,0.7
West Dunbartonshire,HSC partnership,21,80 and over,28,2021-05-01,age,33.3
West Lothian,HSC partnership,32.5,80 and over,30,2021-05-01,age,-7.7
Western Isles,HSC partnership,6.5,80 and over,8,2021-05-01,age,23.1
Aberdeen City,HSC partnership,206.5,All,186,2021-05-01,all,-9.9
Aberdeenshire,HSC partnership,208.5,All,157,2021-05-01,all,-24.7
Angus,HSC partnership,148,All,142,2021-05-01,all,-4.1
Argyll & Bute,HSC partnership,102,All,93,2021-05-01,all,-8.8
Clackmannanshire & Stirling,HSC partnership,121.5,All,116,2021-05-01,all,-4.5
Dumfries & Galloway,HSC partnership,155.5,All,149,2021-05-01,all,-4.2
Dundee City,HSC partnership,173.5,All,152,2021-05-01,all,-12.4
East Ayrshire,HSC partnership,137.5,All,132,2021-05-01,all,-4
East Dunbartonshire,HSC partnership,113.5,All,122,2021-05-01,all,7.5
East Lothian,HSC partnership,74,All,86,2021-05-01,all,16.2
East Renfrewshire,HSC partnership,81.5,All,71,2021-05-01,all,-12.9
Edinburgh,HSC partnership,360,All,407,2021-05-01,all,13.1
Falkirk,HSC partnership,167.5,All,137,2021-05-01,all,-18.2
Fife,HSC partnership,393.5,All,356,2021-05-01,all,-9.5
Glasgow City,HSC partnership,710.5,All,596,2021-05-01,all,-16.1
Highland,HSC partnership,195.5,All,139,2021-05-01,all,-28.9
Inverclyde,HSC partnership,85.5,All,75,2021-05-01,all,-12.3
Midlothian,HSC partnership,75.5,All,87,2021-05-01,all,15.2
Moray,HSC partnership,74.5,All,82,2021-05-01,all,10.1
North Ayrshire,HSC partnership,156.5,All,143,2021-05-01,all,-8.6
North Lanarkshire,HSC partnership,344.5,All,296,2021-05-01,all,-14.1
Orkney Islands,HSC partnership,17.5,All,21,2021-05-01,all,20
Perth & Kinross,HSC partnership,163,All,126,2021-05-01,all,-22.7
Renfrewshire,HSC partnership,167.5,All,195,2021-05-01,all,16.4
Scottish Borders,HSC partnership,126,All,95,2021-05-01,all,-24.6
Shetland Islands,HSC partnership,17,All,32,2021-05-01,all,88.2
South Ayrshire,HSC partnership,123.5,All,137,2021-05-01,all,10.9
South Lanarkshire,HSC partnership,321.5,All,281,2021-05-01,all,-12.6
West Dunbartonshire,HSC partnership,108,All,97,2021-05-01,all,-10.2
West Lothian,HSC partnership,167,All,164,2021-05-01,all,-1.8
Western Isles,HSC partnership,40,All,30,2021-05-01,all,-25
Aberdeen City,HSC partnership,96.5,Female,107,2021-05-01,sex,10.9
Aberdeenshire,HSC partnership,98,Female,80,2021-05-01,sex,-18.4
